ID;Bezeichnung (DE);Kommentar (DE);;
871SC;VERDE (SC);SC;;
875SC;CLAY DARK (SC);SC;;
878SC;JUST GREY (SC);SC;;
879SC;BEACH GREY (SC);SC;;
115HS;SHERWOOD PARK (SY/HOR);SY/HOR;;
215HS;OLD SPLIT OAK (SY/HOR);SY/HOR;;
216HS;SHERWOOD FLAMED (SY/HOR);SY/HOR;;
229HS;LOFT BLACK OAK (SY/HOR);SY/HOR;;
230HS;LOFT BROWN OAK (SY/HOR);SY/HOR;;
231HS;LOFT NATURE OAK (SY/HOR);SY/HOR;;
401HS;LOFT NORDIC OAK (SY/HOR);SY/HOR;;
402HS;LOFT DARK OAK (SY/HOR);SY/HOR;;
808HS;BARDOLIA REAL OAK (SY/HOR);SY/HOR;;
855HS;SHERWOOD BLACK (SY/HOR);SY/HOR;;
856HS;SHERWOOD BRONX (SY/HOR);SY/HOR;;
876HS;DARK SPLIT OAK (SY/HOR);SY/HOR;;
877HS;NATURE SPLIT OAK (SY/HOR);SY/HOR;;
880HS;TIMBER BLACK (SY/HOR);SY/HOR;;
881HS;SCANDINAVIAN OAK (SY/HOR);SY/HOR;;
884HS;SCANDINAVIAN FJELL OAK (SY/HOR);SY/HOR;;
885HS;SCANDINAVIAN BROWN OAK (SY/HOR);SY/HOR;;
887HS;LOFT SMOKY OAK (SY/HOR);SY/HOR;;
115VS;SHERWOOD PARK (SY/VER);SY/VER;;
215VS;OLD SPLIT OAK (SY/VER);SY/VER;;
216VS;SHERWOOD FLAMED (SY/VER);SY/VER;;
229VS;LOFT BLACK OAK (SY/VER);SY/VER;;
230VS;LOFT BROWN OAK (SY/VER);SY/VER;;
231VS;LOFT NATURE OAK (SY/VER);SY/VER;;
401VS;LOFT NORDIC OAK (SY/VER);SY/VER;;
402VS;LOFT DARK OAK (SY/VER);SY/VER;;
808VS;BARDOLIA REAL OAK (SY/VER);SY/VER;;
855VS;SHERWOOD BLACK (SY/VER);SY/VER;;
856VS;SHERWOOD BRONX (SY/VER);SY/VER;;
876VS;DARK SPLIT OAK (SY/VER);SY/VER;;
877VS;NATURE SPLIT OAK (SY/VER);SY/VER;;
880VS;TIMBER BLACK (SY/VER);SY/VER;;
881VS;SCANDINAVIAN OAK (SY/VER);SY/VER;;
884VS;SCANDINAVIAN FJELL OAK (SY/VER);SY/VER;;
885VS;SCANDINAVIAN BROWN OAK (SY/VER);SY/VER;;
887VS;LOFT SMOKY OAK (SY/VER);SY/VER;;
145VI;SNOW (VI);VI;;
242VI;MIRROR (VI);VI;;
430VI;BLACK (VI);VI;;
145VM;SNOW (VM);VM;;
233VM;LIGHT BRONZE (VM);VM;;
238VM;TITANIO (VM);VM;;
730VM;CARBON (VM);VM;;
832WN;WALNUT (WN);WN;;
113XT;TERRA GREY (XT);XT;;
145XT;SNOW (XT);XT;;
165XT;LAVA (XT);XT;;
204XT;UMBRA (XT);XT;;
205XT;ARABICA (XT);XT;;
270XT;STONE (XT);XT;;
430XT;BLACK (XT);XT;;
602XT;SANDY BEACH (XT);XT;;
730XT;CARBON (XT);XT;;
751XT;WHITE (XT);XT;;
752XT;BLOSSOM WHITE (XT);XT;;
781XT;KASHMIR (XT);XT;;
815XT;GRIGIO (XT);XT;;
851XT;DAYLIGHT GREY (XT);XT;;
875XT;CLAY DARK (XT);XT;;
878XT;JUST GREY (XT);XT;;
879XT;BEACH GREY (XT);XT;;
